key,attempts,errors,avg_latency,last_timestamp,ttke,miss_rate,weak_score
L,680,69,166.073756432247,2025-11-18T19:07:00.000Z,0,0.10147058823529412,0.23381087902002212
M,781,65,158.8230884557721,2025-11-18T19:12:47.000Z,0,0.08322663252240717,0.2153145630053622
N,424,26,164.96410256410257,2025-11-15T18:46:57.000Z,0,0.06132075471698113,0.20856552357401761
O,118,12,160.21904761904761,2025-11-13T18:22:45.000Z,0,0.1016949152542373,0.3278491106555651
P,1108,72,164.57731958762886,2025-11-13T18:23:05.000Z,0,0.06498194945848375,0.210359492799603
Q,532,69,164.5174825174825,2025-05-28T09:25:53.000Z,0,0.12969924812030076,0.24912756512432768
R,505,67,173.31529411764706,2025-11-11T15:26:43.000Z,0,0.13267326732673268,0.2600729219138315
S,2532,276,171.40748230535894,2025-11-15T18:44:48.000Z,0,0.10900473933649289,0.24388524750924795
T,565,77,170.98692810457516,2025-11-18T19:19:55.000Z,0,0.13628318584070798,0.25981440264554484
U,624,45,155.05892857142857,2025-11-17T20:12:35.000Z,0,0.07211538461538461,0.20472828696972978
V,4496,454,171.5971302428256,2025-11-17T20:19:44.000Z,0,0.10097864768683273,0.23926706826158323
W,1257,86,169.95777548918642,2025-11-17T20:12:09.000Z,0,0.06841686555290374,0.21802297911633325
Z,863,65,170.36005625879042,2025-11-18T19:07:00.000Z,0,0.07531865585168018,0.22258293838648863
a,54923,2021,159.621412803532,2025-11-20T23:53:12.000Z,0,0.036796970303879975,0.18828804122166984
b,41845,1584,202.9255319148936,2025-11-18T21:03:59.000Z,0,0.037853984944437806,0.2340137662813387
c,52406,1698,130.73951522356515,2025-11-20T23:49:41.000Z,0,0.0324008701293745,0.15557637011028805
d,37412,1477,166.5255205886958,2025-11-20T23:49:41.000Z,0,0.03947931145087138,0.19708652387634606
e,307972,8078,125.00062825909406,2025-11-20T23:49:41.000Z,0,0.026229657241567415,0.1458978802498653
f,24047,1099,168.48990214449302,2025-11-18T19:07:19.000Z,0,0.04570216659042708,0.2028656992558581
g,71234,2614,165.43828649670732,2025-11-20T23:49:41.000Z,0,0.03669595979448016,0.19428440271008357
h,77271,1616,125.03799003958626,2025-11-20T23:53:12.000Z,0,0.020913408652664,0.14274703500145683
i,97967,3160,124.81269438273564,2025-11-20T23:49:41.000Z,0,0.032255759592515844,0.1493178507280612
j,25027,827,212.25502084122775,2025-11-20T23:49:41.000Z,0,0.03304431214288568,0.24084253041508835
k,15688,611,167.1614152892562,2025-11-18T19:07:00.000Z,0,0.038946965833758285,0.1974292580489181
l,73628,2643,163.33380490000644,2025-11-20T23:53:12.000Z,0,0.035896669745205625,0.19161348365108302
m,35978,1010,166.430983040201,2025-11-20T23:49:41.000Z,0,0.02807271110122853,0.19014412403785852
n,134068,2567,126.53377316996544,2025-11-20T23:49:41.000Z,0,0.019147000029835607,0.1432447120855019
o,29892,1297,158.09720137724022,2025-11-20T23:53:12.000Z,0,0.04338953566171551,0.19065645649190438
p,22060,1255,200.18070911170415,2025-11-18T21:03:59.000Z,0,0.056890299184043515,0.2425774382153486
q,4936,337,221.12742980561555,2025-05-28T09:25:53.000Z,0,0.0682739059967585,0.27121890839733415
r,128439,3964,125.99930634380124,2025-11-20T23:49:41.000Z,0,0.030862899898006058,0.1497177248194954
s,73701,2436,155.55478573261485,2025-11-20T23:49:41.000Z,0,0.03305246875890422,0.18180686134633273
t,113540,3829,162.49993698008572,2025-11-20T23:49:41.000Z,0,0.03372379778051788,0.18944147427561805
u,41041,1437,167.28718502519797,2025-11-20T23:49:41.000Z,0,0.03501376672108379,0.19520029952016954
v,27753,831,213.25661587810745,2025-11-18T19:07:19.000Z,0,0.029942708896335532,0.2400245047936221
w,17924,870,180.2078971776865,2025-11-20T23:49:41.000Z,0,0.04853827270698505,0.21676902352059063
x,1853,119,222.648,2025-05-22T06:20:03.000Z,0,0.06422018348623854,0.2703700073100826
y,3524,256,212.01930501930502,2025-11-02T20:56:50.000Z,0,0.07264472190692395,0.2643573311740913
z,21081,973,176.0484041926746,2025-11-20T23:49:41.000Z,0,0.04615530572553484,0.2110080653865353
Ä,423,34,179.17548746518105,2025-11-13T18:38:15.000Z,0,0.08037825059101655,0.23479798735920243
Ö,66,4,180.2741935483871,2025-11-09T18:17:44.000Z,0,0.06060606060606061,0.32407872904351676
Ü,621,82,162.49901768172887,2025-11-17T20:16:08.000Z,0,0.1320450885668277,0.24843329150459031
ß,27410,935,215.89160182452375,2025-11-15T18:46:57.000Z,0,0.034111638088288945,0.2452696084956767
ä,30390,1395,191.56748758059402,2025-11-20T23:49:41.000Z,0,0.04590325765054294,0.22701647713750914
ö,12337,1187,170.56789459532132,2025-11-18T21:03:59.000Z,0,0.09621463889114047,0.235336945168335
ü,22306,1358,177.4682020107552,2025-11-20T23:49:41.000Z,0,0.06088048058818255,0.22132157092132682
